,temp,datetime
0,20.187,2023-09-11 09:35:25
1,20.187,2023-09-11 09:35:30
2,20.187,2023-09-11 09:35:36
3,20.187,2023-09-11 09:35:41
4,20.187,2023-09-11 09:35:46
5,20.187,2023-09-11 09:35:52
6,20.187,2023-09-11 09:35:57
7,20.25,2023-09-11 09:36:02
8,20.25,2023-09-11 09:36:08
9,20.25,2023-09-11 09:36:13
10,20.25,2023-09-11 09:36:18
11,20.25,2023-09-11 09:36:24
12,20.25,2023-09-11 09:36:29
13,20.25,2023-09-11 09:36:34
14,20.25,2023-09-11 09:36:40
15,20.25,2023-09-11 09:36:45
16,20.312,2023-09-11 09:36:51
17,20.312,2023-09-11 09:36:56
18,20.312,2023-09-11 09:37:01
19,20.312,2023-09-11 09:37:07
20,20.375,2023-09-11 09:37:12
21,20.312,2023-09-11 09:37:18
22,20.312,2023-09-11 09:37:23
23,20.312,2023-09-11 09:37:28
24,20.312,2023-09-11 09:37:34
25,20.312,2023-09-11 09:37:39
26,20.312,2023-09-11 09:37:44
27,20.312,2023-09-11 09:37:50
28,20.312,2023-09-11 09:37:55
29,20.312,2023-09-11 09:38:01
30,20.312,2023-09-11 09:38:06
31,20.312,2023-09-11 09:38:12
32,20.25,2023-09-11 09:38:17
33,20.25,2023-09-11 09:38:22
34,20.25,2023-09-11 09:38:28
35,20.312,2023-09-11 09:38:34
36,20.25,2023-09-11 09:38:39
37,20.25,2023-09-11 09:38:44
38,20.25,2023-09-11 09:38:50
39,20.25,2023-09-11 09:38:55
40,20.25,2023-09-11 09:39:01
41,20.25,2023-09-11 09:39:06
42,20.312,2023-09-11 09:39:11
43,20.312,2023-09-11 09:39:17
44,20.25,2023-09-11 09:39:22
45,20.25,2023-09-11 09:39:28
46,20.25,2023-09-11 09:39:33
47,20.25,2023-09-11 09:39:39
48,20.25,2023-09-11 09:39:44
49,20.312,2023-09-11 09:39:49
50,20.312,2023-09-11 09:39:55
51,20.312,2023-09-11 09:40:00
52,20.312,2023-09-11 09:40:06
53,20.375,2023-09-11 09:40:11
54,20.375,2023-09-11 09:40:17
55,20.312,2023-09-11 09:40:22
56,20.312,2023-09-11 09:40:27
57,20.312,2023-09-11 09:40:33
58,20.375,2023-09-11 09:40:38
59,20.375,2023-09-11 09:40:44
60,20.375,2023-09-11 09:40:49
61,20.375,2023-09-11 09:40:54
62,20.375,2023-09-11 09:41:00
63,20.375,2023-09-11 09:41:05
64,20.437,2023-09-11 09:41:11
65,20.437,2023-09-11 09:41:16
66,20.437,2023-09-11 09:41:21
67,20.375,2023-09-11 09:41:27
68,20.375,2023-09-11 09:41:32
69,20.375,2023-09-11 09:41:38
70,20.375,2023-09-11 09:41:43
71,20.375,2023-09-11 09:41:48
72,20.375,2023-09-11 09:41:54
73,20.375,2023-09-11 09:41:59
74,20.312,2023-09-11 09:42:05
75,20.375,2023-09-11 09:42:10
76,20.375,2023-09-11 09:42:15
77,20.375,2023-09-11 09:42:21
78,20.375,2023-09-11 09:42:26
79,20.375,2023-09-11 09:42:31
80,20.375,2023-09-11 09:42:37
81,20.375,2023-09-11 09:42:42
82,20.375,2023-09-11 09:42:48
83,20.375,2023-09-11 09:42:53
84,20.437,2023-09-11 09:42:58
85,20.437,2023-09-11 09:43:04
86,20.437,2023-09-11 09:43:09
87,20.437,2023-09-11 09:43:14
88,20.437,2023-09-11 09:43:20
89,20.437,2023-09-11 09:43:25
90,20.437,2023-09-11 09:43:31
91,20.437,2023-09-11 09:43:36
92,20.5,2023-09-11 09:43:41
93,20.5,2023-09-11 09:43:47
94,20.5,2023-09-11 09:43:52
95,20.5,2023-09-11 09:43:57
96,20.5,2023-09-11 09:44:03
97,20.562,2023-09-11 09:44:08
98,20.5,2023-09-11 09:44:13
99,20.5,2023-09-11 09:44:19
100,20.5,2023-09-11 09:44:24
101,20.5,2023-09-11 09:44:29
102,20.5,2023-09-11 09:44:35
103,20.5,2023-09-11 09:44:40
104,20.5,2023-09-11 09:44:45
105,20.562,2023-09-11 09:44:51
106,20.562,2023-09-11 09:44:56
107,20.562,2023-09-11 09:45:01
108,20.562,2023-09-11 09:45:07
109,20.562,2023-09-11 09:45:12
110,20.562,2023-09-11 09:45:18
111,20.562,2023-09-11 09:45:23
112,20.562,2023-09-11 09:45:28
113,20.5,2023-09-11 09:45:34
114,20.5,2023-09-11 09:45:39
115,20.5,2023-09-11 09:45:45
116,20.5,2023-09-11 09:45:50
117,20.5,2023-09-11 09:45:55
118,20.5,2023-09-11 09:46:00
119,20.5,2023-09-11 09:46:06
120,20.562,2023-09-11 09:46:11
121,20.5,2023-09-11 09:46:17
122,20.5,2023-09-11 09:46:22
123,20.5,2023-09-11 09:46:28
124,20.5,2023-09-11 09:46:33
125,20.5,2023-09-11 09:46:38
126,20.437,2023-09-11 09:46:43
127,20.5,2023-09-11 09:46:49
128,20.5,2023-09-11 09:46:54
129,20.5,2023-09-11 09:47:00
130,20.5,2023-09-11 09:47:05
131,20.5,2023-09-11 09:47:10
132,20.5,2023-09-11 09:47:16
133,20.562,2023-09-11 09:47:21
134,20.5,2023-09-11 09:47:27
135,20.5,2023-09-11 09:47:32
136,20.625,2023-09-11 09:47:37
137,20.562,2023-09-11 09:47:43
138,20.562,2023-09-11 09:47:48
139,20.562,2023-09-11 09:47:53
140,20.562,2023-09-11 09:47:59
141,20.625,2023-09-11 09:48:04
142,20.562,2023-09-11 09:48:09
143,20.625,2023-09-11 09:48:15
144,20.625,2023-09-11 09:48:20
145,20.625,2023-09-11 09:48:26
146,20.625,2023-09-11 09:48:31
147,20.625,2023-09-11 09:48:37
148,20.625,2023-09-11 09:48:42
149,20.562,2023-09-11 09:48:47
150,20.562,2023-09-11 09:48:53
151,20.562,2023-09-11 09:48:58
152,20.562,2023-09-11 09:49:03
153,20.562,2023-09-11 09:49:09
154,20.625,2023-09-11 09:49:14
155,20.562,2023-09-11 09:49:20
156,20.625,2023-09-11 09:49:25
157,20.562,2023-09-11 09:49:30
158,20.562,2023-09-11 09:49:36
159,20.562,2023-09-11 09:49:41
160,20.562,2023-09-11 09:49:47
161,20.562,2023-09-11 09:49:52
162,20.562,2023-09-11 09:49:58
163,20.562,2023-09-11 09:50:03
164,20.562,2023-09-11 09:50:08
165,20.625,2023-09-11 09:50:14
166,20.625,2023-09-11 09:50:19
167,20.625,2023-09-11 09:50:25
168,20.562,2023-09-11 09:50:30
169,20.562,2023-09-11 09:50:35
170,20.562,2023-09-11 09:50:40
171,20.625,2023-09-11 09:50:46
172,20.625,2023-09-11 09:50:51
173,20.625,2023-09-11 09:50:56
174,20.625,2023-09-11 09:51:02
175,20.625,2023-09-11 09:51:07
176,20.625,2023-09-11 09:51:13
177,20.625,2023-09-11 09:51:18
178,20.625,2023-09-11 09:51:23
179,20.625,2023-09-11 09:51:29
180,20.625,2023-09-11 09:51:34
181,20.625,2023-09-11 09:51:39
182,20.687,2023-09-11 09:51:45
183,20.625,2023-09-11 09:51:50
184,20.687,2023-09-11 09:51:56
185,20.687,2023-09-11 09:52:01
186,20.625,2023-09-11 09:52:06
187,20.687,2023-09-11 09:52:12
188,20.687,2023-09-11 09:52:17
189,20.687,2023-09-11 09:52:22
