index,time,moisture
1,14:50,18.4
2,15:00,18.9
3,15:10,18.3
4,15:20,16.7
5,15:30,16.2
6,15:40,15.4
7,15:50,14.6
8,16:00,12.5
9,16:10,13
10,16:20,12.7
11,16:30,12.7
12,16:40,13.4
13,16:50,14.3
14,17:00,14.6
