,temp,datetime
0,8.375,2023-10-19 00:00:01
1,8.375,2023-10-19 00:00:06
2,8.375,2023-10-19 00:00:11
3,8.375,2023-10-19 00:00:17
4,8.437,2023-10-19 00:00:22
5,8.375,2023-10-19 00:00:28
6,8.375,2023-10-19 00:00:33
7,8.375,2023-10-19 00:00:38
8,8.375,2023-10-19 00:00:44
9,8.375,2023-10-19 00:00:49
10,8.375,2023-10-19 00:00:54
11,8.375,2023-10-19 00:01:00
12,8.375,2023-10-19 00:01:05
13,8.375,2023-10-19 00:01:12
14,8.375,2023-10-19 00:01:16
15,8.375,2023-10-19 00:01:21
16,8.375,2023-10-19 00:01:27
17,8.375,2023-10-19 00:01:32
18,8.375,2023-10-19 00:01:37
19,8.375,2023-10-19 00:01:43
20,8.375,2023-10-19 00:01:48
21,8.375,2023-10-19 00:01:53
22,8.437,2023-10-19 00:01:59
23,8.375,2023-10-19 00:02:04
24,8.375,2023-10-19 00:02:10
25,8.375,2023-10-19 00:02:15
26,8.375,2023-10-19 00:02:20
27,8.375,2023-10-19 00:02:26
28,8.375,2023-10-19 00:02:31
29,8.437,2023-10-19 00:02:37
30,8.375,2023-10-19 00:02:42
31,8.437,2023-10-19 00:02:47
32,8.375,2023-10-19 00:02:53
33,8.375,2023-10-19 00:02:58
34,8.375,2023-10-19 00:03:03
35,8.375,2023-10-19 00:03:09
36,8.375,2023-10-19 00:03:14
37,8.375,2023-10-19 00:03:20
38,8.375,2023-10-19 00:03:25
39,8.375,2023-10-19 00:03:30
40,8.375,2023-10-19 00:03:36
41,8.375,2023-10-19 00:03:41
42,8.375,2023-10-19 00:03:47
43,8.375,2023-10-19 00:03:52
44,8.375,2023-10-19 00:03:57
45,8.375,2023-10-19 00:04:03
46,8.375,2023-10-19 00:04:08
47,8.312,2023-10-19 00:04:13
48,8.375,2023-10-19 00:04:19
49,8.375,2023-10-19 00:04:24
50,8.375,2023-10-19 00:04:29
51,8.375,2023-10-19 00:04:35
52,8.375,2023-10-19 00:04:40
53,8.375,2023-10-19 00:04:45
54,8.437,2023-10-19 00:04:51
55,8.375,2023-10-19 00:04:56
56,8.375,2023-10-19 00:05:02
57,8.375,2023-10-19 00:05:07
58,8.375,2023-10-19 00:05:12
59,8.375,2023-10-19 00:05:18
60,8.375,2023-10-19 00:05:23
61,8.375,2023-10-19 00:05:28
62,8.375,2023-10-19 00:05:33
63,8.375,2023-10-19 00:05:39
64,8.375,2023-10-19 00:05:44
65,8.375,2023-10-19 00:05:49
66,8.375,2023-10-19 00:05:55
67,8.375,2023-10-19 00:06:00
68,8.375,2023-10-19 00:06:05
69,8.375,2023-10-19 00:06:11
70,8.375,2023-10-19 00:06:16
71,8.375,2023-10-19 00:06:22
72,8.437,2023-10-19 00:06:27
73,8.375,2023-10-19 00:06:32
74,8.375,2023-10-19 00:06:38
75,8.375,2023-10-19 00:06:43
76,8.375,2023-10-19 00:06:48
77,8.375,2023-10-19 00:06:54
78,8.375,2023-10-19 00:06:59
79,8.375,2023-10-19 00:07:05
80,8.375,2023-10-19 00:07:10
81,8.375,2023-10-19 00:07:16
82,8.375,2023-10-19 00:07:21
83,8.375,2023-10-19 00:07:26
84,8.375,2023-10-19 00:07:31
85,8.375,2023-10-19 00:07:37
86,8.375,2023-10-19 00:07:42
87,8.375,2023-10-19 00:07:48
88,8.312,2023-10-19 00:07:53
89,8.375,2023-10-19 00:07:58
90,8.375,2023-10-19 00:08:04
91,8.375,2023-10-19 00:08:09
92,8.375,2023-10-19 00:08:14
93,8.375,2023-10-19 00:08:20
94,8.375,2023-10-19 00:08:25
95,8.375,2023-10-19 00:08:30
96,8.375,2023-10-19 00:08:36
97,8.375,2023-10-19 00:08:41
98,8.375,2023-10-19 00:08:46
99,8.375,2023-10-19 00:08:52
100,8.375,2023-10-19 00:08:57
101,8.375,2023-10-19 00:09:02
102,8.375,2023-10-19 00:09:08
103,8.375,2023-10-19 00:09:13
104,8.375,2023-10-19 00:09:19
105,8.375,2023-10-19 00:09:24
106,8.375,2023-10-19 00:09:29
107,8.375,2023-10-19 00:09:35
108,8.375,2023-10-19 00:09:40
109,8.375,2023-10-19 00:09:46
110,8.375,2023-10-19 00:09:51
111,8.375,2023-10-19 00:09:56
112,8.437,2023-10-19 00:10:02
113,8.375,2023-10-19 00:10:07
114,8.437,2023-10-19 00:10:12
115,8.375,2023-10-19 00:10:18
116,8.375,2023-10-19 00:10:23
117,8.375,2023-10-19 00:10:28
118,8.375,2023-10-19 00:10:34
119,8.375,2023-10-19 00:10:39
120,8.375,2023-10-19 00:10:44
121,8.375,2023-10-19 00:10:50
122,8.375,2023-10-19 00:10:55
123,8.375,2023-10-19 00:11:01
124,8.375,2023-10-19 00:11:06
125,8.437,2023-10-19 00:11:11
126,8.375,2023-10-19 00:11:17
127,8.437,2023-10-19 00:11:22
128,8.375,2023-10-19 00:11:27
129,8.437,2023-10-19 00:11:33
130,8.437,2023-10-19 00:11:38
131,8.437,2023-10-19 00:11:43
132,8.437,2023-10-19 00:11:49
133,8.437,2023-10-19 00:11:54
134,8.437,2023-10-19 00:12:00
