,datetime,temp1,temp2,temp3,temp4,temp5,temp6,rh_1,rh_2,moist
148,00:02:29,,,,5,,,80.6,,
149,00:02:30,,,,,8.187,,,,
150,00:02:31,,,,,,8.375,80.6,,
151,00:02:32,3.687,,,,,,,,
152,00:02:33,,2.25,,,,,80.6,,
153,00:02:34,,,3.125,,,,,,
154,00:02:35,,,,5,,,80.7,,
155,00:02:36,,,,,8.187,,,,
156,00:02:37,3.687,,,,,8.437,,,
157,00:02:38,,2.25,,,,,,,
158,00:02:39,,,3.125,,,,,,
159,00:02:40,,,,5,,,,,
160,00:02:41,,,,,8.187,,,,
161,00:02:42,,,,,,8.375,80.6,,
162,00:02:43,3.687,,,,,,80.5,,
163,00:02:44,,2.25,,,,,,,
164,00:02:45,,,3.125,,,,80.5,,
165,00:02:46,,,,5,8.187,,,,
166,00:02:47,,,,,,8.437,80.5,,
167,00:02:48,3.687,,,,,,,,
168,00:02:49,,2.25,,,,,80.6,,
169,00:02:50,,,3.125,,,,,,
170,00:02:51,,,,5,,,80.5,,
171,00:02:52,,,,,8.187,,,,
172,00:02:53,3.625,,,,,8.375,80.5,,
173,00:02:54,,2.25,,,,,,,
174,00:02:55,,,3.125,,,,80.5,,
175,00:02:56,,,,5,,,,,
176,00:02:57,,,,,8.187,,80.3,,
177,00:02:58,,,,,,8.375,,,
178,00:02:59,3.625,,,,,,80.4,,
179,00:03:00,,2.25,,,,,,,
180,00:03:01,,,3.125,5,,,80.3,,
181,00:03:02,,,,,8.187,,,,
182,00:03:03,,,,,,8.375,80.4,,
183,00:03:04,3.625,,,,,,,,
184,00:03:05,,2.312,,,,,80.4,,
185,00:03:06,,,3.125,,,,,,
186,00:03:07,,,,5,,,,,
187,00:03:08,,,,,8.187,,,,
188,00:03:09,,,,,,8.375,,,
189,00:03:10,3.625,2.312,,,,,,,
190,00:03:11,,,3.062,,,,,,
191,00:03:12,,,,5,,,80.5,,
192,00:03:13,,,,,8.187,,80.4,,
193,00:03:14,,,,,,8.375,,,
194,00:03:15,3.625,,,,,,80.4,,
195,00:03:16,,2.312,,,,,,,
196,00:03:17,,,3.062,,,,80.4,,
197,00:03:18,,,,4.937,,,,,
198,00:03:19,,,,,8.187,,80.4,,
199,00:03:20,3.625,,,,,8.375,,,
200,00:03:21,,2.312,,,,,80.4,,
201,00:03:22,,,3.062,,,,,,
202,00:03:23,,,,4.937,,,80.4,,
203,00:03:24,,,,,8.187,,,,
204,00:03:25,,,,,,8.375,80.3,,
205,00:03:26,3.625,,,,,,,,
206,00:03:27,,2.375,,,,,80.4,,
207,00:03:28,,,3.125,,,,,,
208,00:03:29,,,,4.937,8.187,,80.3,,
209,00:03:30,,,,,,8.375,,,
210,00:03:31,3.625,,,,,,80.4,,
211,00:03:32,,2.375,,,,,,,
212,00:03:33,,,3.125,,,,80.4,,
213,00:03:34,,,,5,,,,,
214,00:03:35,,,,,8.187,,80.4,,
215,00:03:36,,,,,,8.375,,,
216,00:03:37,3.625,,,,,,,,
217,00:03:38,,2.375,3.125,,,,,,
218,00:03:39,,,,4.937,,,,,
219,00:03:40,,,,,8.187,,,,
220,00:03:41,,,,,,8.375,,,
221,00:03:42,3.625,,,,,,80.3,,
222,00:03:43,,2.312,,,,,80.4,,
223,00:03:44,,,3.125,,,,,,
224,00:03:45,,,,4.937,,,80.3,,
225,00:03:46,,,,,8.187,,,,
226,00:03:47,3.625,,,,,8.375,80.1,,
227,00:03:48,,2.25,,,,,,,
228,00:03:49,,,3.125,,,,80.3,,
229,00:03:50,,,,5,,,,,
230,00:03:51,,,,,8.187,,80.3,,
231,00:03:52,,,,,,8.375,,,
232,00:03:53,3.625,,,,,,80.2,,
233,00:03:54,,2.25,3.125,,,,,,
234,00:03:55,,,,5,,,80.3,,
235,00:03:56,,,,,8.187,,,,
236,00:03:57,,,,,,8.375,80.3,,
237,00:03:58,3.625,,,,,,,,
238,00:03:59,,2.312,,,,,80.4,,
239,00:04:00,,,3.125,,,,,,
240,00:04:01,,,,5,,,80.3,,
241,00:04:02,,,,,8.187,,,,
242,00:04:03,,,,,,8.375,80.3,,
243,00:04:04,3.625,2.312,,,,,,,
244,00:04:05,,,3.125,,,,80.3,,
245,00:04:06,,,,5,,,,,
246,00:04:07,,,,,8.187,,,,
247,00:04:08,,,,,,8.375,,,
248,00:04:09,3.625,,,,,,,,
249,00:04:10,,2.312,,,,,,,
250,00:04:11,,,3.125,5,,,,,
251,00:04:12,,,,,8.187,,80.3,,
252,00:04:13,,,,,,8.312,80.2,,
253,00:04:14,3.625,,,,,,,,
254,00:04:15,,2.375,,,,,80.3,,
255,00:04:16,,,3.125,,,,,,
256,00:04:17,,,,4.937,,,80.3,,
257,00:04:18,,,,,8.187,,,,
258,00:04:19,,,,,,8.375,,,
259,00:04:20,3.625,2.375,,,,,80.3,,
260,00:04:21,,,3.125,,,,80.3,,
261,00:04:22,,,,4.937,,,,,
262,00:04:23,,,,,8.187,,80.3,,
263,00:04:24,,,,,,8.375,,,
264,00:04:25,3.625,,,,,,,,
265,00:04:26,,2.375,3.125,,,,80.3,,
266,00:04:27,,,,5,,,,,
