,temp,datetime
0,8.187,2023-10-19 00:00:00
1,8.187,2023-10-19 00:00:05
2,8.187,2023-10-19 00:00:11
3,8.187,2023-10-19 00:00:16
4,8.187,2023-10-19 00:00:21
5,8.187,2023-10-19 00:00:27
6,8.187,2023-10-19 00:00:32
7,8.187,2023-10-19 00:00:37
8,8.187,2023-10-19 00:00:43
9,8.187,2023-10-19 00:00:48
10,8.187,2023-10-19 00:00:53
11,8.187,2023-10-19 00:00:59
12,8.187,2023-10-19 00:01:04
13,8.187,2023-10-19 00:01:10
14,8.187,2023-10-19 00:01:15
15,8.187,2023-10-19 00:01:20
16,8.187,2023-10-19 00:01:26
17,8.187,2023-10-19 00:01:31
18,8.187,2023-10-19 00:01:36
19,8.187,2023-10-19 00:01:42
20,8.187,2023-10-19 00:01:47
21,8.187,2023-10-19 00:01:52
22,8.187,2023-10-19 00:01:58
23,8.187,2023-10-19 00:02:03
24,8.187,2023-10-19 00:02:09
25,8.187,2023-10-19 00:02:14
26,8.187,2023-10-19 00:02:19
27,8.187,2023-10-19 00:02:25
28,8.187,2023-10-19 00:02:30
29,8.187,2023-10-19 00:02:36
30,8.187,2023-10-19 00:02:41
31,8.187,2023-10-19 00:02:46
32,8.187,2023-10-19 00:02:52
33,8.187,2023-10-19 00:02:57
34,8.187,2023-10-19 00:03:02
35,8.187,2023-10-19 00:03:08
36,8.187,2023-10-19 00:03:13
37,8.187,2023-10-19 00:03:19
38,8.187,2023-10-19 00:03:24
39,8.187,2023-10-19 00:03:29
40,8.187,2023-10-19 00:03:35
41,8.187,2023-10-19 00:03:40
42,8.187,2023-10-19 00:03:46
43,8.187,2023-10-19 00:03:51
44,8.187,2023-10-19 00:03:56
45,8.187,2023-10-19 00:04:02
46,8.187,2023-10-19 00:04:07
47,8.187,2023-10-19 00:04:12
48,8.187,2023-10-19 00:04:18
49,8.187,2023-10-19 00:04:23
50,8.187,2023-10-19 00:04:28
51,8.187,2023-10-19 00:04:34
52,8.187,2023-10-19 00:04:39
53,8.187,2023-10-19 00:04:44
54,8.187,2023-10-19 00:04:50
55,8.187,2023-10-19 00:04:55
56,8.187,2023-10-19 00:05:01
57,8.187,2023-10-19 00:05:06
58,8.187,2023-10-19 00:05:11
59,8.187,2023-10-19 00:05:17
60,8.187,2023-10-19 00:05:22
61,8.187,2023-10-19 00:05:27
62,8.187,2023-10-19 00:05:33
63,8.187,2023-10-19 00:05:38
64,8.187,2023-10-19 00:05:43
65,8.187,2023-10-19 00:05:48
66,8.187,2023-10-19 00:05:54
67,8.187,2023-10-19 00:05:59
68,8.187,2023-10-19 00:06:04
69,8.187,2023-10-19 00:06:10
70,8.187,2023-10-19 00:06:15
71,8.187,2023-10-19 00:06:21
72,8.187,2023-10-19 00:06:26
73,8.187,2023-10-19 00:06:31
74,8.187,2023-10-19 00:06:37
75,8.187,2023-10-19 00:06:42
76,8.187,2023-10-19 00:06:47
77,8.187,2023-10-19 00:06:53
78,8.187,2023-10-19 00:06:58
79,8.187,2023-10-19 00:07:04
80,8.187,2023-10-19 00:07:09
81,8.187,2023-10-19 00:07:15
82,8.187,2023-10-19 00:07:20
83,8.187,2023-10-19 00:07:25
84,8.187,2023-10-19 00:07:31
85,8.187,2023-10-19 00:07:36
86,8.187,2023-10-19 00:07:41
87,8.187,2023-10-19 00:07:47
88,8.187,2023-10-19 00:07:52
89,8.187,2023-10-19 00:07:57
90,8.187,2023-10-19 00:08:03
91,8.187,2023-10-19 00:08:08
92,8.187,2023-10-19 00:08:13
93,8.187,2023-10-19 00:08:19
94,8.187,2023-10-19 00:08:24
95,8.187,2023-10-19 00:08:29
96,8.187,2023-10-19 00:08:35
97,8.187,2023-10-19 00:08:40
98,8.187,2023-10-19 00:08:45
99,8.187,2023-10-19 00:08:51
100,8.187,2023-10-19 00:08:56
101,8.187,2023-10-19 00:09:02
102,8.187,2023-10-19 00:09:07
103,8.187,2023-10-19 00:09:12
104,8.187,2023-10-19 00:09:18
105,8.187,2023-10-19 00:09:23
106,8.187,2023-10-19 00:09:28
107,8.187,2023-10-19 00:09:34
108,8.187,2023-10-19 00:09:39
109,8.187,2023-10-19 00:09:44
110,8.187,2023-10-19 00:09:50
111,8.187,2023-10-19 00:09:55
112,8.187,2023-10-19 00:10:01
113,8.187,2023-10-19 00:10:06
114,8.187,2023-10-19 00:10:11
115,8.187,2023-10-19 00:10:17
116,8.187,2023-10-19 00:10:22
117,8.187,2023-10-19 00:10:28
118,8.187,2023-10-19 00:10:33
119,8.187,2023-10-19 00:10:38
120,8.187,2023-10-19 00:10:44
121,8.187,2023-10-19 00:10:49
122,8.187,2023-10-19 00:10:54
123,8.187,2023-10-19 00:11:00
124,8.187,2023-10-19 00:11:05
125,8.187,2023-10-19 00:11:10
126,8.187,2023-10-19 00:11:16
127,8.187,2023-10-19 00:11:21
128,8.187,2023-10-19 00:11:26
129,8.187,2023-10-19 00:11:32
130,8.187,2023-10-19 00:11:37
131,8.187,2023-10-19 00:11:43
132,8.187,2023-10-19 00:11:48
133,8.187,2023-10-19 00:11:53
134,8.187,2023-10-19 00:11:59
135,8.187,2023-10-19 00:12:04
136,8.187,2023-10-19 00:12:09
137,8.187,2023-10-19 00:12:14
138,8.187,2023-10-19 00:12:20
139,8.187,2023-10-19 00:12:25
140,8.187,2023-10-19 00:12:30
141,8.187,2023-10-19 00:12:36
142,8.187,2023-10-19 00:12:41
143,8.187,2023-10-19 00:12:46
144,8.187,2023-10-19 00:12:52
145,8.187,2023-10-19 00:12:57
146,8.187,2023-10-19 00:13:02
147,8.187,2023-10-19 00:13:08
148,8.187,2023-10-19 00:13:13
149,8.187,2023-10-19 00:13:18
150,8.187,2023-10-19 00:13:24
151,8.187,2023-10-19 00:13:29
152,8.187,2023-10-19 00:13:34
153,8.187,2023-10-19 00:13:40
154,8.187,2023-10-19 00:13:45
155,8.187,2023-10-19 00:13:50
156,8.187,2023-10-19 00:13:56
157,8.187,2023-10-19 00:14:01
158,8.187,2023-10-19 00:14:07
159,8.187,2023-10-19 00:14:12
160,8.187,2023-10-19 00:14:17
161,8.187,2023-10-19 00:14:23
162,8.187,2023-10-19 00:14:28
163,8.187,2023-10-19 00:14:34
164,8.187,2023-10-19 00:14:39
165,8.187,2023-10-19 00:14:44
166,8.187,2023-10-19 00:14:50
167,8.187,2023-10-19 00:14:55
168,8.187,2023-10-19 00:15:00
169,8.187,2023-10-19 00:15:06
170,8.187,2023-10-19 00:15:11
171,8.187,2023-10-19 00:15:16
172,8.187,2023-10-19 00:15:22
173,8.187,2023-10-19 00:15:27
174,8.187,2023-10-19 00:15:32
175,8.187,2023-10-19 00:15:38
176,8.187,2023-10-19 00:15:43
177,8.187,2023-10-19 00:15:48
178,8.187,2023-10-19 00:15:54
179,8.187,2023-10-19 00:15:59
180,8.187,2023-10-19 00:16:04
181,8.187,2023-10-19 00:16:10
182,8.187,2023-10-19 00:16:15
183,8.187,2023-10-19 00:16:20
184,8.187,2023-10-19 00:16:26
185,8.187,2023-10-19 00:16:31
186,8.187,2023-10-19 00:16:36
187,8.187,2023-10-19 00:16:42
188,8.187,2023-10-19 00:16:47
189,8.187,2023-10-19 00:16:53
190,8.187,2023-10-19 00:16:58
191,8.187,2023-10-19 00:17:03
192,8.187,2023-10-19 00:17:09
193,8.187,2023-10-19 00:17:14
194,8.187,2023-10-19 00:17:20
195,8.187,2023-10-19 00:17:25
196,8.187,2023-10-19 00:17:30
197,8.187,2023-10-19 00:17:36
198,8.187,2023-10-19 00:17:41
199,8.187,2023-10-19 00:17:46
200,8.187,2023-10-19 00:17:53
201,8.187,2023-10-19 00:17:57
202,8.187,2023-10-19 00:18:02
203,8.187,2023-10-19 00:18:08
204,8.187,2023-10-19 00:18:13
205,8.187,2023-10-19 00:18:18
206,8.187,2023-10-19 00:18:24
207,8.187,2023-10-19 00:18:29
208,8.187,2023-10-19 00:18:34
209,8.187,2023-10-19 00:18:40
210,8.187,2023-10-19 00:18:45
211,8.187,2023-10-19 00:18:50
212,8.187,2023-10-19 00:18:56
213,8.187,2023-10-19 00:19:01
214,8.187,2023-10-19 00:19:06
215,8.187,2023-10-19 00:19:12
216,8.187,2023-10-19 00:19:17
217,8.187,2023-10-19 00:19:22
218,8.187,2023-10-19 00:19:28
219,8.187,2023-10-19 00:19:33
220,8.187,2023-10-19 00:19:38
221,8.187,2023-10-19 00:19:44
222,8.187,2023-10-19 00:19:49
223,8.187,2023-10-19 00:19:54
224,8.187,2023-10-19 00:20:00
225,8.187,2023-10-19 00:20:05
226,8.187,2023-10-19 00:20:10
227,8.187,2023-10-19 00:20:16
228,8.187,2023-10-19 00:20:21
