,temp,datetime
0,2.562,2023-10-19 00:00:03
1,2.5,2023-10-19 00:00:08
2,2.5,2023-10-19 00:00:13
3,2.562,2023-10-19 00:00:19
4,2.562,2023-10-19 00:00:24
5,2.5,2023-10-19 00:00:29
6,2.437,2023-10-19 00:00:35
7,2.437,2023-10-19 00:00:40
8,2.437,2023-10-19 00:00:45
9,2.437,2023-10-19 00:00:51
10,2.375,2023-10-19 00:00:56
11,2.375,2023-10-19 00:01:02
12,2.312,2023-10-19 00:01:07
13,2.25,2023-10-19 00:01:12
14,2.25,2023-10-19 00:01:18
15,2.25,2023-10-19 00:01:23
16,2.25,2023-10-19 00:01:28
17,2.25,2023-10-19 00:01:34
18,2.25,2023-10-19 00:01:39
19,2.187,2023-10-19 00:01:44
20,2.187,2023-10-19 00:01:50
21,2.25,2023-10-19 00:01:55
22,2.25,2023-10-19 00:02:01
23,2.312,2023-10-19 00:02:06
24,2.25,2023-10-19 00:02:11
25,2.25,2023-10-19 00:02:17
26,2.25,2023-10-19 00:02:22
27,2.25,2023-10-19 00:02:27
28,2.25,2023-10-19 00:02:33
29,2.25,2023-10-19 00:02:38
30,2.25,2023-10-19 00:02:44
31,2.25,2023-10-19 00:02:49
32,2.25,2023-10-19 00:02:54
33,2.25,2023-10-19 00:03:00
34,2.312,2023-10-19 00:03:05
35,2.312,2023-10-19 00:03:10
36,2.312,2023-10-19 00:03:16
37,2.312,2023-10-19 00:03:21
38,2.375,2023-10-19 00:03:27
39,2.375,2023-10-19 00:03:32
40,2.375,2023-10-19 00:03:38
41,2.312,2023-10-19 00:03:43
42,2.25,2023-10-19 00:03:48
43,2.25,2023-10-19 00:03:54
44,2.312,2023-10-19 00:03:59
45,2.312,2023-10-19 00:04:04
46,2.312,2023-10-19 00:04:10
47,2.375,2023-10-19 00:04:15
48,2.375,2023-10-19 00:04:20
49,2.375,2023-10-19 00:04:26
50,2.312,2023-10-19 00:04:31
51,2.312,2023-10-19 00:04:36
52,2.312,2023-10-19 00:04:42
53,2.25,2023-10-19 00:04:47
54,2.25,2023-10-19 00:04:53
55,2.25,2023-10-19 00:04:58
56,2.187,2023-10-19 00:05:03
57,2.25,2023-10-19 00:05:09
58,2.25,2023-10-19 00:05:14
59,2.25,2023-10-19 00:05:19
60,2.25,2023-10-19 00:05:25
61,2.25,2023-10-19 00:05:30
62,2.25,2023-10-19 00:05:35
63,2.187,2023-10-19 00:05:41
64,2.125,2023-10-19 00:05:46
65,2.187,2023-10-19 00:05:51
66,2.187,2023-10-19 00:05:56
67,2.187,2023-10-19 00:06:02
68,2.125,2023-10-19 00:06:07
69,2.125,2023-10-19 00:06:13
70,2.187,2023-10-19 00:06:18
71,2.187,2023-10-19 00:06:23
72,2.125,2023-10-19 00:06:29
73,2.125,2023-10-19 00:06:34
74,2.125,2023-10-19 00:06:39
75,2.125,2023-10-19 00:06:45
76,2.187,2023-10-19 00:06:50
77,2.125,2023-10-19 00:06:55
78,2.187,2023-10-19 00:07:01
79,2.187,2023-10-19 00:07:06
80,2.125,2023-10-19 00:07:12
81,2.187,2023-10-19 00:07:17
82,2.125,2023-10-19 00:07:23
83,2.187,2023-10-19 00:07:28
84,2.187,2023-10-19 00:07:33
85,2.25,2023-10-19 00:07:39
86,2.25,2023-10-19 00:07:44
87,2.25,2023-10-19 00:07:49
88,2.25,2023-10-19 00:07:55
89,2.25,2023-10-19 00:08:00
90,2.25,2023-10-19 00:08:05
91,2.25,2023-10-19 00:08:11
92,2.25,2023-10-19 00:08:16
93,2.25,2023-10-19 00:08:22
94,2.312,2023-10-19 00:08:27
95,2.312,2023-10-19 00:08:32
96,2.312,2023-10-19 00:08:37
97,2.312,2023-10-19 00:08:43
98,2.312,2023-10-19 00:08:48
99,2.25,2023-10-19 00:08:54
100,2.312,2023-10-19 00:08:59
101,2.25,2023-10-19 00:09:04
102,2.25,2023-10-19 00:09:10
103,2.25,2023-10-19 00:09:15
104,2.25,2023-10-19 00:09:20
105,2.25,2023-10-19 00:09:26
106,2.25,2023-10-19 00:09:31
107,2.312,2023-10-19 00:09:36
108,2.25,2023-10-19 00:09:42
109,2.25,2023-10-19 00:09:47
110,2.25,2023-10-19 00:09:53
111,2.25,2023-10-19 00:09:58
112,2.312,2023-10-19 00:10:03
113,2.312,2023-10-19 00:10:09
114,2.25,2023-10-19 00:10:14
115,2.312,2023-10-19 00:10:20
116,2.25,2023-10-19 00:10:25
117,2.187,2023-10-19 00:10:30
118,2.25,2023-10-19 00:10:36
119,2.25,2023-10-19 00:10:41
120,2.25,2023-10-19 00:10:46
121,2.25,2023-10-19 00:10:52
122,2.187,2023-10-19 00:10:57
123,2.187,2023-10-19 00:11:02
124,2.187,2023-10-19 00:11:08
125,2.187,2023-10-19 00:11:13
126,2.187,2023-10-19 00:11:18
127,2.187,2023-10-19 00:11:24
128,2.187,2023-10-19 00:11:29
129,2.187,2023-10-19 00:11:34
130,2.187,2023-10-19 00:11:40
131,2.187,2023-10-19 00:11:45
132,2.187,2023-10-19 00:11:50
133,2.187,2023-10-19 00:11:56
134,2.187,2023-10-19 00:12:01
135,2.187,2023-10-19 00:12:06
136,2.187,2023-10-19 00:12:12
137,2.187,2023-10-19 00:12:17
138,2.125,2023-10-19 00:12:22
139,2.125,2023-10-19 00:12:28
140,2.125,2023-10-19 00:12:33
141,2.125,2023-10-19 00:12:38
