index,time,moisture
1,10:30,18.5
2,10:40,18.1
3,10:50,17
4,11:00,15.5
5,11:10,15.9
6,11:20,15.3
7,11:30,14.7
8,11:40,14
9,11:50,13.5
10,12:00,13.8
11,12:10,13.3
12,12:20,14.4
13,12:30,13.4
14,12:40,12.6
15,12:50,13.1
16,13:00,12.3
17,13:10,12
18,13:20,12.6
19,13:30,12.3
20,13:40,13.1
21,13:50,12.8
22,14:00,13
23,14:10,13.2
24,14:20,13
25,14:30,13.2
