,temp,datetime
9577,18.625,2023-09-12 00:00:03
9578,18.562,2023-09-12 00:00:09
9579,18.625,2023-09-12 00:00:14
9580,18.562,2023-09-12 00:00:19
9581,18.562,2023-09-12 00:00:25
9582,18.562,2023-09-12 00:00:30
9583,18.562,2023-09-12 00:00:35
9584,18.562,2023-09-12 00:00:41
9585,18.625,2023-09-12 00:00:46
9586,18.562,2023-09-12 00:00:52
9587,18.562,2023-09-12 00:00:57
9588,18.625,2023-09-12 00:01:02
9589,18.562,2023-09-12 00:01:08
9590,18.562,2023-09-12 00:01:13
9591,18.562,2023-09-12 00:01:18
9592,18.562,2023-09-12 00:01:24
9593,18.562,2023-09-12 00:01:29
9594,18.625,2023-09-12 00:01:34
9595,18.562,2023-09-12 00:01:40
9596,18.562,2023-09-12 00:01:45
9597,18.562,2023-09-12 00:01:51
9598,18.562,2023-09-12 00:01:56
9599,18.625,2023-09-12 00:02:02
9600,18.562,2023-09-12 00:02:07
9601,18.562,2023-09-12 00:02:12
9602,18.562,2023-09-12 00:02:18
9603,18.562,2023-09-12 00:02:23
9604,18.562,2023-09-12 00:02:28
9605,18.562,2023-09-12 00:02:34
9606,18.562,2023-09-12 00:02:39
9607,18.562,2023-09-12 00:02:45
9608,18.562,2023-09-12 00:02:50
9609,18.562,2023-09-12 00:02:56
9610,18.562,2023-09-12 00:03:01
9611,18.562,2023-09-12 00:03:06
9612,18.562,2023-09-12 00:03:12
9613,18.562,2023-09-12 00:03:17
9614,18.562,2023-09-12 00:03:22
9615,18.562,2023-09-12 00:03:28
9616,18.5,2023-09-12 00:03:33
9617,18.562,2023-09-12 00:03:38
9618,18.562,2023-09-12 00:03:44
9619,18.562,2023-09-12 00:03:49
9620,18.5,2023-09-12 00:03:54
9621,18.5,2023-09-12 00:04:00
9622,18.562,2023-09-12 00:04:05
9623,18.5,2023-09-12 00:04:11
9624,18.562,2023-09-12 00:04:16
9625,18.562,2023-09-12 00:04:21
9626,18.562,2023-09-12 00:04:27
9627,18.5,2023-09-12 00:04:32
9628,18.562,2023-09-12 00:04:37
9629,18.562,2023-09-12 00:04:43
9630,18.562,2023-09-12 00:04:48
9631,18.562,2023-09-12 00:04:54
9632,18.562,2023-09-12 00:04:59
9633,18.5,2023-09-12 00:05:04
9634,18.562,2023-09-12 00:05:10
9635,18.5,2023-09-12 00:05:15
9636,18.562,2023-09-12 00:05:21
9637,18.562,2023-09-12 00:05:26
9638,18.5,2023-09-12 00:05:31
9639,18.5,2023-09-12 00:05:37
9640,18.562,2023-09-12 00:05:42
9641,18.5,2023-09-12 00:05:47
9642,18.5,2023-09-12 00:05:53
9643,18.5,2023-09-12 00:05:58
9644,18.5,2023-09-12 00:06:03
9645,18.5,2023-09-12 00:06:09
9646,18.562,2023-09-12 00:06:14
9647,18.5,2023-09-12 00:06:19
9648,18.5,2023-09-12 00:06:25
9649,18.5,2023-09-12 00:06:30
9650,18.5,2023-09-12 00:06:36
9651,18.562,2023-09-12 00:06:41
9652,18.5,2023-09-12 00:06:46
9653,18.5,2023-09-12 00:06:52
9654,18.5,2023-09-12 00:06:57
9655,18.5,2023-09-12 00:07:03
9656,18.5,2023-09-12 00:07:08
9657,18.5,2023-09-12 00:07:13
9658,18.5,2023-09-12 00:07:19
9659,18.5,2023-09-12 00:07:24
9660,18.5,2023-09-12 00:07:29
9661,18.5,2023-09-12 00:07:35
9662,18.5,2023-09-12 00:07:40
9663,18.5,2023-09-12 00:07:45
9664,18.5,2023-09-12 00:07:51
9665,18.5,2023-09-12 00:07:56
9666,18.5,2023-09-12 00:08:02
9667,18.5,2023-09-12 00:08:07
9668,18.5,2023-09-12 00:08:13
9669,18.562,2023-09-12 00:08:18
9670,18.5,2023-09-12 00:08:23
9671,18.5,2023-09-12 00:08:29
9672,18.5,2023-09-12 00:08:34
9673,18.5,2023-09-12 00:08:40
9674,18.5,2023-09-12 00:08:45
9675,18.5,2023-09-12 00:08:50
9676,18.437,2023-09-12 00:08:56
9677,18.5,2023-09-12 00:09:01
9678,18.5,2023-09-12 00:09:06
9679,18.5,2023-09-12 00:09:12
9680,18.437,2023-09-12 00:09:17
9681,18.437,2023-09-12 00:09:22
9682,18.437,2023-09-12 00:09:28
9683,18.437,2023-09-12 00:09:33
9684,18.437,2023-09-12 00:09:38
9685,18.437,2023-09-12 00:09:44
9686,18.437,2023-09-12 00:09:49
9687,18.5,2023-09-12 00:09:55
9688,18.437,2023-09-12 00:10:00
9689,18.437,2023-09-12 00:10:05
9690,18.437,2023-09-12 00:10:11
9691,18.437,2023-09-12 00:10:16
9692,18.437,2023-09-12 00:10:22
9693,18.5,2023-09-12 00:10:27
9694,18.5,2023-09-12 00:10:32
9695,18.437,2023-09-12 00:10:38
9696,18.437,2023-09-12 00:10:43
9697,18.437,2023-09-12 00:10:48
9698,18.5,2023-09-12 00:10:54
9699,18.437,2023-09-12 00:10:59
9700,18.5,2023-09-12 00:11:04
9701,18.437,2023-09-12 00:11:10
9702,18.437,2023-09-12 00:11:15
9703,18.437,2023-09-12 00:11:21
9704,18.437,2023-09-12 00:11:26
9705,18.437,2023-09-12 00:11:31
9706,18.437,2023-09-12 00:11:37
9707,18.437,2023-09-12 00:11:42
9708,18.437,2023-09-12 00:11:47
9709,18.437,2023-09-12 00:11:53
9710,18.437,2023-09-12 00:11:58
9711,18.437,2023-09-12 00:12:03
9712,18.437,2023-09-12 00:12:09
9713,18.437,2023-09-12 00:12:14
9714,18.437,2023-09-12 00:12:20
9715,18.437,2023-09-12 00:12:25
9716,18.437,2023-09-12 00:12:30
9717,18.437,2023-09-12 00:12:36
