,datetime,temp1,temp2,temp3,temp4,temp5,temp6,rh_1,rh_2,moist
0,12/09/2023 00:00,,,,18.875,,,,,
1,12/09/2023 00:00,,,,,18.5,18.125,80.9,96.7,
2,12/09/2023 00:00,17.812,,,,,,,,
3,12/09/2023 00:00,,18.625,,,,,81,96.7,
4,12/09/2023 00:00,,,17.5,,,,80.9,,
5,12/09/2023 00:00,,,,18.875,,,,96.7,
6,12/09/2023 00:00,,,,,18.5,,,,
7,12/09/2023 00:00,,,,,,18.125,80.9,96.7,
8,12/09/2023 00:00,17.812,,,,,,,,
9,12/09/2023 00:00,,18.562,17.5,,,,80.9,96.6,
10,12/09/2023 00:00,,,,18.937,,,,,
11,12/09/2023 00:00,,,,,18.5,,80.9,96.6,
12,12/09/2023 00:00,,,,,,18.125,,,
13,12/09/2023 00:00,17.812,,,,,,80.9,96.7,
14,12/09/2023 00:00,,18.625,,,,,,,
15,12/09/2023 00:00,,,17.5,,,,80.9,96.8,
16,12/09/2023 00:00,,,,18.875,18.5,,,,
17,12/09/2023 00:00,,,,,,18.125,80.9,96.7,
18,12/09/2023 00:00,17.812,,,,,,,,
19,12/09/2023 00:00,,18.562,,,,,80.9,96.6,
20,12/09/2023 00:00,,,17.437,,,,,,
21,12/09/2023 00:00,,,,18.875,,,80.9,96.8,
22,12/09/2023 00:00,,,,,18.5,,,,
23,12/09/2023 00:00,,,,,,18.125,80.9,96.7,
24,12/09/2023 00:00,17.812,,,,,,,,
25,12/09/2023 00:00,,18.562,17.5,,,,,,
26,12/09/2023 00:00,,,,18.875,,,,,
27,12/09/2023 00:00,,,,,18.5,,,,
28,12/09/2023 00:00,,,,,,18.125,,,
29,12/09/2023 00:00,17.812,,,,,,80.9,96.7,
30,12/09/2023 00:00,,18.562,,,,,,,
31,12/09/2023 00:00,,,17.5,,,,81,96.6,
32,12/09/2023 00:00,,,,18.875,,,,,
33,12/09/2023 00:00,,,,,18.5,,80.8,96.8,
34,12/09/2023 00:00,17.812,,,,,18.125,,,
35,12/09/2023 00:00,,18.562,,,,,80.9,96.6,
36,12/09/2023 00:00,,,17.5,,,,,,
37,12/09/2023 00:00,,,,18.875,,,80.9,96.5,
38,12/09/2023 00:00,,,,,18.5,,,,
39,12/09/2023 00:00,,,,,,18.125,81,96.7,
40,12/09/2023 00:00,17.812,,,,,,,,
41,12/09/2023 00:00,,18.562,,,,,81,96.6,
42,12/09/2023 00:00,,,17.437,,,,,,
43,12/09/2023 00:00,,,,18.875,,,80.8,96.8,
44,12/09/2023 00:00,,,,,18.5,18.125,,,
45,12/09/2023 00:00,17.812,,,,,,80.9,96.6,
46,12/09/2023 00:00,,18.625,,,,,,,
47,12/09/2023 00:00,,,17.437,,,,80.9,96.6,
48,12/09/2023 00:00,,,,18.875,,,,,
49,12/09/2023 00:00,,,,,18.5,,80.9,96.7,
50,12/09/2023 00:00,,,,,,18.125,,,
51,12/09/2023 00:00,17.812,,,,,,80.9,96.6,
52,12/09/2023 00:00,,18.562,,,,,,,
53,12/09/2023 00:00,,,17.437,18.875,,,80.9,96.6,
54,12/09/2023 00:00,,,,,18.5,,,,
55,12/09/2023 00:00,,,,,,18.125,,,
56,12/09/2023 00:00,17.812,,,,,,,,
57,12/09/2023 00:00,,18.562,,,,,,,
58,12/09/2023 00:00,,,17.437,,,,,,
59,12/09/2023 00:00,,,,18.875,,,80.9,96.7,
60,12/09/2023 00:01,,,,,18.5,,,,
61,12/09/2023 00:01,17.812,,,,,18.125,81,96.7,
62,12/09/2023 00:01,,18.625,,,,,,,
63,12/09/2023 00:01,,,17.437,,,,80.9,96.7,
64,12/09/2023 00:01,,,,18.875,,,,,
65,12/09/2023 00:01,,,,,18.5,,80.9,96.6,
66,12/09/2023 00:01,,,,,,18.125,,,
67,12/09/2023 00:01,17.812,,,,,,80.9,96.9,
68,12/09/2023 00:01,,18.562,,,,,,,
69,12/09/2023 00:01,,,17.5,,,,81,96.7,
70,12/09/2023 00:01,,,,18.875,18.5,,,,
71,12/09/2023 00:01,,,,,,18.125,81,96.7,
72,12/09/2023 00:01,17.812,,,,,,,,
73,12/09/2023 00:01,,18.562,,,,,81,96.8,
74,12/09/2023 00:01,,,17.437,,,,,,
75,12/09/2023 00:01,,,,18.875,,,81,96.8,
76,12/09/2023 00:01,,,,,18.5,,,,
77,12/09/2023 00:01,,,,,,18.125,80.9,96.7,
78,12/09/2023 00:01,17.812,18.562,,,,,,,
79,12/09/2023 00:01,,,17.437,,,,81,96.8,
80,12/09/2023 00:01,,,,18.875,,,,,
81,12/09/2023 00:01,,,,,18.5,,80.9,96.7,
82,12/09/2023 00:01,,,,,,18.062,,,
83,12/09/2023 00:01,17.812,,,,,,81,96.6,
84,12/09/2023 00:01,,18.562,,,,,,,
85,12/09/2023 00:01,,,17.437,,,,,,
86,12/09/2023 00:01,,,,18.875,18.5,,,,
87,12/09/2023 00:01,,,,,,18.062,,,
88,12/09/2023 00:01,17.812,,,,,,,,
89,12/09/2023 00:01,,18.562,,,,,80.9,96.7,
90,12/09/2023 00:01,,,17.437,,,,,,
91,12/09/2023 00:01,,,,18.875,,,81,96.6,
92,12/09/2023 00:01,,,,,18.5,,,,
93,12/09/2023 00:01,,,,,,18.062,81,96.8,
94,12/09/2023 00:01,17.812,18.625,,,,,,,
95,12/09/2023 00:01,,,17.5,,,,80.9,96.6,
96,12/09/2023 00:01,,,,18.937,,,,,
97,12/09/2023 00:01,,,,,18.437,,81,96.7,
98,12/09/2023 00:01,,,,,,18.062,,,
99,12/09/2023 00:01,17.812,,,,,,81,96.7,
100,12/09/2023 00:01,,18.562,,,,,,,
101,12/09/2023 00:01,,,17.437,,,,81,96.9,
102,12/09/2023 00:01,,,,18.875,,,,,
103,12/09/2023 00:01,,,,,18.5,,81,96.7,
104,12/09/2023 00:01,17.812,,,,,18.062,,,
105,12/09/2023 00:01,,18.562,,,,,81,96.8,
106,12/09/2023 00:01,,,17.437,,,,,,
107,12/09/2023 00:01,,,,18.875,,,81,96.8,
108,12/09/2023 00:01,,,,,18.437,,,,
109,12/09/2023 00:01,,,,,,18.062,80.9,96.8,
110,12/09/2023 00:01,17.812,,,,,,,,
111,12/09/2023 00:01,,18.562,,,,,80.9,96.6,
112,12/09/2023 00:01,,,17.437,,,,,,
113,12/09/2023 00:01,,,,18.875,,,,96.6,
114,12/09/2023 00:01,,,,,18.437,,81,,
115,12/09/2023 00:01,17.812,,,,,18.062,,,
116,12/09/2023 00:01,,18.562,,,,,,,
117,12/09/2023 00:01,,,17.437,,,,,,
118,12/09/2023 00:01,,,,18.875,,,,,
119,12/09/2023 00:01,,,,,18.5,,,96.8,
120,12/09/2023 00:02,,,,,,18.062,81,,
121,12/09/2023 00:02,17.812,,,,,,80.9,96.7,
122,12/09/2023 00:02,,18.625,,,,,,,
123,12/09/2023 00:02,,,17.437,18.875,,,80.9,96.7,
124,12/09/2023 00:02,,,,,18.437,,,,
125,12/09/2023 00:02,,,,,,18.062,80.9,96.7,
126,12/09/2023 00:02,17.812,,,,,,,,
127,12/09/2023 00:02,,18.562,,,,,,96.6,
128,12/09/2023 00:02,,,17.5,,,,81,,
129,12/09/2023 00:02,,,,18.875,,,81,96.6,
130,12/09/2023 00:02,,,,,18.437,,,,
131,12/09/2023 00:02,,,,,,18.125,,96.6,
132,12/09/2023 00:02,17.812,18.562,,,,,81,,
133,12/09/2023 00:02,,,17.5,,,,81,96.7,
134,12/09/2023 00:02,,,,18.875,,,,,
135,12/09/2023 00:02,,,,,18.437,,,96.8,
136,12/09/2023 00:02,,,,,,18.125,80.9,,
137,12/09/2023 00:02,17.812,,,,,,80.9,96.8,
138,12/09/2023 00:02,,18.562,,,,,,,
139,12/09/2023 00:02,,,17.437,,,,,96.7,
140,12/09/2023 00:02,,,,18.875,18.437,,81,,
141,12/09/2023 00:02,,,,,,18.062,81,96.8,
142,12/09/2023 00:02,17.812,,,,,,,,
143,12/09/2023 00:02,,18.562,,,,,,96.6,
144,12/09/2023 00:02,,,17.5,,,,81,,
145,12/09/2023 00:02,,,,18.875,,,,,
146,12/09/2023 00:02,,,,,18.437,,,,
147,12/09/2023 00:02,,,,,,18.125,,,
148,12/09/2023 00:02,17.812,18.562,,,,,,,
149,12/09/2023 00:02,,,17.437,,,,,96.9,
150,12/09/2023 00:02,,,,18.875,,,80.9,,
151,12/09/2023 00:02,,,,,18.437,,80.9,96.8,
152,12/09/2023 00:02,,,,,,18.062,,,
153,12/09/2023 00:02,17.812,,,,,,,96.8,
154,12/09/2023 00:02,,18.562,,,,,81,,
155,12/09/2023 00:02,,,17.5,,,,80.9,96.6,
156,12/09/2023 00:02,,,,18.875,,,,,
157,12/09/2023 00:02,,,,,18.437,18.062,,96.7,
158,12/09/2023 00:02,17.812,,,,,,80.9,,
159,12/09/2023 00:02,,18.562,,,,,81,96.8,
160,12/09/2023 00:02,,,17.5,,,,,,
161,12/09/2023 00:02,,,,18.875,,,,96.7,
162,12/09/2023 00:02,,,,,18.437,,81,,
163,12/09/2023 00:02,,,,,,18.062,80.9,96.6,
164,12/09/2023 00:02,17.812,,,,,,,,
165,12/09/2023 00:02,,18.562,,,,,,,
166,12/09/2023 00:02,,,17.437,18.875,,,81,96.8,
167,12/09/2023 00:02,,,,,18.437,,81,,
168,12/09/2023 00:02,,,,,,18.062,,96.8,
169,12/09/2023 00:02,17.812,,,,,,,,
170,12/09/2023 00:02,,18.562,,,,,81,96.8,
171,12/09/2023 00:02,,,17.437,,,,81,96.8,
172,12/09/2023 00:02,,,,18.875,,,,,
173,12/09/2023 00:02,,,,,18.437,,,,
174,12/09/2023 00:02,,,,,,18.062,81,96.9,
175,12/09/2023 00:02,17.812,,,,,,,,
176,12/09/2023 00:02,,18.562,17.437,,,,,,
177,12/09/2023 00:02,,,,18.875,,,,,
178,12/09/2023 00:02,,,,,18.437,,,,
179,12/09/2023 00:02,,,,,,18.062,,,
180,12/09/2023 00:03,17.812,,,,,,81.1,96.8,
181,12/09/2023 00:03,,18.562,,,,,81.1,,
182,12/09/2023 00:03,,,17.437,,,,,96.7,
183,12/09/2023 00:03,,,,18.875,,,,,
184,12/09/2023 00:03,,,,,18.437,18.062,81,96.7,
185,12/09/2023 00:03,17.812,,,,,,81,,
186,12/09/2023 00:03,,18.562,,,,,,96.7,
187,12/09/2023 00:03,,,17.437,,,,,,
188,12/09/2023 00:03,,,,18.875,,,81.1,96.7,
189,12/09/2023 00:03,,,,,18.437,,81.1,,
190,12/09/2023 00:03,,,,,,18.062,,96.7,
191,12/09/2023 00:03,17.812,,,,,,,,
192,12/09/2023 00:03,,18.562,17.437,,,,81,96.8,
193,12/09/2023 00:03,,,,18.875,,,81,,
194,12/09/2023 00:03,,,,,18.437,,,96.7,
195,12/09/2023 00:03,,,,,,18.062,,,
196,12/09/2023 00:03,17.75,,,,,,81.1,96.7,
197,12/09/2023 00:03,,18.562,,,,,80.9,,
198,12/09/2023 00:03,,,17.437,,,,,96.9,
199,12/09/2023 00:03,,,,18.875,,,,,
200,12/09/2023 00:03,,,,,18.437,18.062,81,96.7,
201,12/09/2023 00:03,17.812,,,,,,81,,
202,12/09/2023 00:03,,18.562,,,,,,96.7,
203,12/09/2023 00:03,,,17.437,,,,,,
204,12/09/2023 00:03,,,,18.875,,,81,96.8,
205,12/09/2023 00:03,,,,,18.437,,,,
206,12/09/2023 00:03,,,,,,18.062,,,
207,12/09/2023 00:03,17.75,,,,,,,,
208,12/09/2023 00:03,,18.562,,,,,,,
209,12/09/2023 00:03,,,17.437,18.875,,,,,
210,12/09/2023 00:03,,,,,18.437,,81.1,96.6,
211,12/09/2023 00:03,,,,,,18.062,81,,
212,12/09/2023 00:03,17.75,,,,,,,96.7,
213,12/09/2023 00:03,,18.5,,,,,,,
214,12/09/2023 00:03,,,17.437,,,,81,96.7,
215,12/09/2023 00:03,,,,18.875,,,81.1,,
216,12/09/2023 00:03,,,,,18.437,,,96.7,
217,12/09/2023 00:03,,,,,,18.062,,,
218,12/09/2023 00:03,17.812,18.562,,,,,81.1,96.9,
219,12/09/2023 00:03,,,17.437,,,,81,,
220,12/09/2023 00:03,,,,18.875,,,,96.8,
221,12/09/2023 00:03,,,,,18.437,,,,
222,12/09/2023 00:03,,,,,,18.062,81.1,96.6,
223,12/09/2023 00:03,17.812,,,,,,81,,
224,12/09/2023 00:03,,18.562,,,,,,96.7,
225,12/09/2023 00:03,,,17.437,18.875,,,,,
226,12/09/2023 00:03,,,,,18.437,,81.1,96.6,
227,12/09/2023 00:03,,,,,,18.062,81,,
228,12/09/2023 00:03,17.812,,,,,,,96.8,
229,12/09/2023 00:03,,18.562,,,,,,,
230,12/09/2023 00:03,,,17.437,,,,81.1,96.8,
231,12/09/2023 00:03,,,,18.875,,,81.1,,
232,12/09/2023 00:03,,,,,18.437,,,96.6,
233,12/09/2023 00:03,,,,,,18,,,
234,12/09/2023 00:03,17.75,18.5,,,,,81,96.8,
235,12/09/2023 00:03,,,17.437,,,,,,
236,12/09/2023 00:03,,,,18.875,,,,,
237,12/09/2023 00:03,,,,,18.437,,,,
238,12/09/2023 00:03,,,,,,18.062,,,
239,12/09/2023 00:03,17.75,,,,,,,,
240,12/09/2023 00:04,,18.5,,,,,81.1,96.8,
241,12/09/2023 00:04,,,17.375,,,,,,
242,12/09/2023 00:04,,,,18.875,18.437,,81.2,96.6,
243,12/09/2023 00:04,,,,,,18,,,
244,12/09/2023 00:04,17.75,,,,,,81.1,96.7,
245,12/09/2023 00:04,,18.562,,,,,,,
246,12/09/2023 00:04,,,17.437,,,,81.1,96.8,
247,12/09/2023 00:04,,,,18.875,,,,,
248,12/09/2023 00:04,,,,,18.437,,81,96.7,
249,12/09/2023 00:04,,,,,,18.062,,,
250,12/09/2023 00:04,17.75,,,,,,81.1,96.7,
251,12/09/2023 00:04,,18.5,17.437,,,,,,
252,12/09/2023 00:04,,,,18.875,,,81.1,96.7,
253,12/09/2023 00:04,,,,,18.437,,,,
254,12/09/2023 00:04,,,,,,18.062,81.1,96.7,
255,12/09/2023 00:04,17.75,,,,,,,,
256,12/09/2023 00:04,,18.562,,,,,81.1,96.6,
257,12/09/2023 00:04,,,17.437,,,,,,
258,12/09/2023 00:04,,,,18.875,,,81.1,96.7,
259,12/09/2023 00:04,,,,,18.437,,,,
260,12/09/2023 00:04,17.75,,,,,18.062,81.2,96.7,
261,12/09/2023 00:04,,18.562,,,,,,,
262,12/09/2023 00:04,,,17.437,,,,81.1,96.8,
263,12/09/2023 00:04,,,,18.875,,,,,
264,12/09/2023 00:04,,,,,18.375,,81.1,96.6,
265,12/09/2023 00:04,,,,,,18.062,,,
266,12/09/2023 00:04,17.75,,,,,,,,
267,12/09/2023 00:04,,18.562,,,,,,,
268,12/09/2023 00:04,,,17.437,18.875,,,,,
269,12/09/2023 00:04,,,,,18.437,,,,
270,12/09/2023 00:04,,,,,,18.062,81.1,96.7,
271,12/09/2023 00:04,17.75,,,,,,,,
272,12/09/2023 00:04,,18.5,,,,,81.1,96.7,
273,12/09/2023 00:04,,,17.437,,,,,,
274,12/09/2023 00:04,,,,18.875,,,81.1,96.8,
275,12/09/2023 00:04,,,,,18.437,,,,
276,12/09/2023 00:04,,,,,,18.062,81.1,96.6,
277,12/09/2023 00:04,17.75,18.562,,,,,,,
278,12/09/2023 00:04,,,17.437,,,,81,96.8,
279,12/09/2023 00:04,,,,18.875,,,,,
280,12/09/2023 00:04,,,,,18.437,,81.1,96.6,
281,12/09/2023 00:04,,,,,,18.062,,,
282,12/09/2023 00:04,17.75,,,,,,81.1,96.7,
283,12/09/2023 00:04,,18.562,,,,,,,
284,12/09/2023 00:04,,,17.437,,,,81.1,96.7,
285,12/09/2023 00:04,,,,18.875,,,,,
286,12/09/2023 00:04,,,,,18.437,18,81.1,96.8,
287,12/09/2023 00:04,17.75,,,,,,,,
288,12/09/2023 00:04,,18.562,,,,,81.1,96.7,
289,12/09/2023 00:04,,,17.375,,,,,,
290,12/09/2023 00:04,,,,18.875,,,81.1,96.7,
291,12/09/2023 00:04,,,,,18.437,,,,
292,12/09/2023 00:04,,,,,,18,81.1,96.6,
293,12/09/2023 00:04,17.75,,,,,,,,
294,12/09/2023 00:04,,18.562,17.437,,,,81,96.7,
295,12/09/2023 00:04,,,,18.875,,,,,
296,12/09/2023 00:04,,,,,18.375,,,,
297,12/09/2023 00:04,,,,,,18,,,
298,12/09/2023 00:04,17.75,,,,,,,,
299,12/09/2023 00:04,,18.562,,,,,,,
300,12/09/2023 00:05,,,17.437,,,,81.1,96.7,
301,12/09/2023 00:05,,,,18.875,,,,,
302,12/09/2023 00:05,,,,,18.375,18,81,96.8,
303,12/09/2023 00:05,17.75,,,,,,,,
304,12/09/2023 00:05,,18.5,,,,,81.1,96.7,
305,12/09/2023 00:05,,,17.437,,,,,,
306,12/09/2023 00:05,,,,18.875,,,81,96.6,
307,12/09/2023 00:05,,,,,18.375,,,,
308,12/09/2023 00:05,,,,,,18,81,96.8,
309,12/09/2023 00:05,17.75,,,,,,,,
310,12/09/2023 00:05,,18.562,,,,,81,96.7,
311,12/09/2023 00:05,,,17.437,,,,,,
312,12/09/2023 00:05,,,,18.875,18.375,,81,96.8,
313,12/09/2023 00:05,,,,,,18,,,
314,12/09/2023 00:05,17.75,,,,,,81,96.7,
315,12/09/2023 00:05,,18.5,,,,,,,
316,12/09/2023 00:05,,,17.375,,,,80.9,96.8,
317,12/09/2023 00:05,,,,18.875,,,,,
318,12/09/2023 00:05,,,,,18.375,,80.8,96.6,
319,12/09/2023 00:05,,,,,,18,,,
320,12/09/2023 00:05,17.75,,,,,,,96.8,
321,12/09/2023 00:05,,18.562,17.375,,,,81,,
322,12/09/2023 00:05,,,,18.875,,,80.9,96.6,
323,12/09/2023 00:05,,,,,18.375,,,,
324,12/09/2023 00:05,,,,,,18.062,,96.7,
325,12/09/2023 00:05,17.75,,,,,,80.9,,
326,12/09/2023 00:05,,18.562,,,,,,,
327,12/09/2023 00:05,,,17.375,,,,,,
328,12/09/2023 00:05,,,,18.875,,,,,
329,12/09/2023 00:05,,,,,18.375,,,,
330,12/09/2023 00:05,17.75,,,,,18.062,,96.7,
331,12/09/2023 00:05,,18.5,,,,,81,,
332,12/09/2023 00:05,,,17.375,,,,80.8,96.6,
333,12/09/2023 00:05,,,,18.875,,,,,
334,12/09/2023 00:05,,,,,18.375,,,96.6,
335,12/09/2023 00:05,,,,,,18.062,80.9,,
336,12/09/2023 00:05,17.75,,,,,,80.9,96.6,
337,12/09/2023 00:05,,18.5,17.375,,,,,,
338,12/09/2023 00:05,,,,18.875,,,,96.5,
339,12/09/2023 00:05,,,,,18.375,,80.9,,
340,12/09/2023 00:05,,,,,,18,80.8,96.7,
341,12/09/2023 00:05,17.75,,,,,,,,
342,12/09/2023 00:05,,18.562,,,,,,96.6,
343,12/09/2023 00:05,,,17.375,,,,80.9,,
344,12/09/2023 00:05,,,,18.875,,,80.9,96.7,
345,12/09/2023 00:05,,,,,18.375,,,,
346,12/09/2023 00:05,17.75,,,,,18,,96.7,
347,12/09/2023 00:05,,18.5,,,,,80.9,,
348,12/09/2023 00:05,,,17.437,,,,80.8,96.6,
349,12/09/2023 00:05,,,,18.875,,,,,
350,12/09/2023 00:05,,,,,18.375,,,96.7,
351,12/09/2023 00:05,,,,,,18,80.8,,
352,12/09/2023 00:05,17.75,,,,,,80.9,96.7,
353,12/09/2023 00:05,,18.5,,,,,,,
354,12/09/2023 00:05,,,17.375,18.875,,,,96.7,
355,12/09/2023 00:05,,,,,18.375,,80.8,,
356,12/09/2023 00:05,,,,,,18,,,
357,12/09/2023 00:05,17.75,,,,,,,,
358,12/09/2023 00:05,,18.5,,,,,,,
359,12/09/2023 00:05,,,17.375,,,,,,
360,12/09/2023 00:06,,,,18.875,,,,,
361,12/09/2023 00:06,,,,,18.375,,80.9,96.7,
362,12/09/2023 00:06,17.75,,,,,18,80.8,96.6,
363,12/09/2023 00:06,,18.5,,,,,,,
364,12/09/2023 00:06,,,17.375,,,,,96.8,
365,12/09/2023 00:06,,,,18.875,,,80.8,,
366,12/09/2023 00:06,,,,,18.375,,80.8,96.7,
367,12/09/2023 00:06,,,,,,18,,,
368,12/09/2023 00:06,17.75,,,,,,,96.6,
369,12/09/2023 00:06,,18.5,,,,,80.7,,
370,12/09/2023 00:06,,,17.375,,,,80.8,96.8,
371,12/09/2023 00:06,,,,18.875,18.375,,,,
372,12/09/2023 00:06,,,,,,18,,96.8,
373,12/09/2023 00:06,17.75,,,,,,80.8,,
374,12/09/2023 00:06,,18.562,,,,,80.8,,
375,12/09/2023 00:06,,,17.375,,,,,96.7,
376,12/09/2023 00:06,,,,18.875,,,,96.7,
377,12/09/2023 00:06,,,,,18.375,,80.8,,
378,12/09/2023 00:06,,,,,,18,80.8,,
379,12/09/2023 00:06,17.75,18.5,,,,,,96.8,
380,12/09/2023 00:06,,,17.375,,,,,,
381,12/09/2023 00:06,,,,18.875,,,80.8,96.7,
382,12/09/2023 00:06,,,,,18.375,,80.8,,
383,12/09/2023 00:06,,,,,,18,,96.7,
384,12/09/2023 00:06,17.75,,,,,,,,
385,12/09/2023 00:06,,18.5,,,,,80.8,96.8,
386,12/09/2023 00:06,,,17.375,,,,,,
387,12/09/2023 00:06,,,,18.875,,,,,
388,12/09/2023 00:06,,,,,18.375,18,,,
389,12/09/2023 00:06,17.75,,,,,,,,
390,12/09/2023 00:06,,18.5,,,,,,,
391,12/09/2023 00:06,,,17.437,,,,80.8,96.6,
392,12/09/2023 00:06,,,,18.875,,,80.8,,
393,12/09/2023 00:06,,,,,18.375,,,96.7,
394,12/09/2023 00:06,,,,,,17.937,,,
395,12/09/2023 00:06,17.75,,,,,,80.8,96.7,
396,12/09/2023 00:06,,18.5,17.375,,,,80.8,,
397,12/09/2023 00:06,,,,18.875,,,,96.7,
398,12/09/2023 00:06,,,,,18.375,,,,
399,12/09/2023 00:06,,,,,,18,80.8,96.7,
400,12/09/2023 00:06,17.75,,,,,,80.8,,
401,12/09/2023 00:06,,18.562,,,,,,96.5,
402,12/09/2023 00:06,,,17.375,,,,,,
403,12/09/2023 00:06,,,,18.875,,,80.8,96.7,
404,12/09/2023 00:06,,,,,18.375,,80.9,,
405,12/09/2023 00:06,,,,,,18,,96.7,
406,12/09/2023 00:06,17.75,18.5,,,,,,,
