,rh,temps,datetime
22363,96.6,18.6,2023-09-12 00:05:06
22364,96.8,18.6,2023-09-12 00:05:08
22365,96.7,18.6,2023-09-12 00:05:10
22366,96.8,18.6,2023-09-12 00:05:12
22367,96.7,18.6,2023-09-12 00:05:14
22368,96.8,18.6,2023-09-12 00:05:16
22369,96.6,18.5,2023-09-12 00:05:18
22370,96.8,18.6,2023-09-12 00:05:20
22371,96.6,18.6,2023-09-12 00:05:22
22372,96.7,18.5,2023-09-12 00:05:24
22373,96.7,18.6,2023-09-12 00:05:30
22374,96.6,18.6,2023-09-12 00:05:32
22375,96.6,18.5,2023-09-12 00:05:34
22376,96.6,18.6,2023-09-12 00:05:36
22377,96.5,18.6,2023-09-12 00:05:38
22378,96.7,18.5,2023-09-12 00:05:40
22379,96.6,18.5,2023-09-12 00:05:42
22380,96.7,18.6,2023-09-12 00:05:44
22381,96.7,18.5,2023-09-12 00:05:46
22382,96.6,18.5,2023-09-12 00:05:48
22383,96.7,18.5,2023-09-12 00:05:50
22384,96.7,18.5,2023-09-12 00:05:52
22385,96.7,18.6,2023-09-12 00:05:54
22386,96.7,18.6,2023-09-12 00:06:01
22387,96.6,18.5,2023-09-12 00:06:02
22388,96.8,18.6,2023-09-12 00:06:04
22389,96.7,18.6,2023-09-12 00:06:06
22390,96.6,18.6,2023-09-12 00:06:08
22391,96.8,18.6,2023-09-12 00:06:10
22392,96.8,18.5,2023-09-12 00:06:12
22393,96.7,18.6,2023-09-12 00:06:15
22394,96.7,18.5,2023-09-12 00:06:16
22395,96.8,18.5,2023-09-12 00:06:19
22396,96.7,18.6,2023-09-12 00:06:21
22397,96.7,18.5,2023-09-12 00:06:23
22398,96.8,18.5,2023-09-12 00:06:25
22399,96.6,18.5,2023-09-12 00:06:31
22400,96.7,18.5,2023-09-12 00:06:33
22401,96.7,18.6,2023-09-12 00:06:35
22402,96.7,18.5,2023-09-12 00:06:37
22403,96.7,18.5,2023-09-12 00:06:39
22404,96.5,18.5,2023-09-12 00:06:41
22405,96.7,18.7,2023-09-12 00:06:43
22406,96.7,18.5,2023-09-12 00:06:45
22407,96.6,18.6,2023-09-12 00:06:47
22408,96.7,18.5,2023-09-12 00:06:49
22409,96.8,18.6,2023-09-12 00:06:51
22410,96.6,18.5,2023-09-12 00:06:53
22411,96.7,18.6,2023-09-12 00:06:55
22412,96.7,18.5,2023-09-12 00:07:01
22413,96.8,18.6,2023-09-12 00:07:03
22414,96.8,18.6,2023-09-12 00:07:05
22415,96.6,18.5,2023-09-12 00:07:07
22416,96.8,18.5,2023-09-12 00:07:09
22417,96.6,18.6,2023-09-12 00:07:11
22418,96.8,18.5,2023-09-12 00:07:13
22419,96.8,18.5,2023-09-12 00:07:15
22420,96.8,18.6,2023-09-12 00:07:17
22421,96.7,18.5,2023-09-12 00:07:19
22422,96.6,18.6,2023-09-12 00:07:21
22423,96.6,18.5,2023-09-12 00:07:23
22424,96.8,18.5,2023-09-12 00:07:25
22425,96.6,18.6,2023-09-12 00:07:31
22426,96.6,18.5,2023-09-12 00:07:33
22427,96.8,18.5,2023-09-12 00:07:35
22428,96.8,18.5,2023-09-12 00:07:37
22429,96.8,18.6,2023-09-12 00:07:39
22430,96.7,18.5,2023-09-12 00:07:41
22431,96.8,18.4,2023-09-12 00:07:43
22432,96.8,18.6,2023-09-12 00:07:45
22433,96.5,18.5,2023-09-12 00:07:47
22434,96.8,18.5,2023-09-12 00:07:49
22435,96.7,18.5,2023-09-12 00:07:51
22436,96.8,18.5,2023-09-12 00:07:53
22437,96.8,18.5,2023-09-12 00:07:55
22438,96.8,18.5,2023-09-12 00:08:01
22439,96.7,18.5,2023-09-12 00:08:03
22440,96.7,18.6,2023-09-12 00:08:05
22441,96.7,18.5,2023-09-12 00:08:07
22442,96.7,18.5,2023-09-12 00:08:09
22443,96.8,18.5,2023-09-12 00:08:11
22444,96.7,18.6,2023-09-12 00:08:13
22445,96.8,18.5,2023-09-12 00:08:15
22446,96.6,18.5,2023-09-12 00:08:17
22447,96.7,18.5,2023-09-12 00:08:19
22448,96.8,18.5,2023-09-12 00:08:21
22449,96.8,18.5,2023-09-12 00:08:23
22450,96.8,18.5,2023-09-12 00:08:25
22451,96.7,18.6,2023-09-12 00:08:31
22452,96.7,18.5,2023-09-12 00:08:33
22453,96.6,18.6,2023-09-12 00:08:35
22454,96.8,18.5,2023-09-12 00:08:37
22455,96.6,18.5,2023-09-12 00:08:39
22456,96.8,18.5,2023-09-12 00:08:41
22457,96.6,18.6,2023-09-12 00:08:43
22458,96.8,18.5,2023-09-12 00:08:45
22459,96.9,18.6,2023-09-12 00:08:47
22460,96.7,18.6,2023-09-12 00:08:49
22461,96.7,18.5,2023-09-12 00:08:51
22462,96.8,18.5,2023-09-12 00:08:53
22463,96.7,18.5,2023-09-12 00:08:55
22464,96.7,18.5,2023-09-12 00:09:01
22465,96.6,18.5,2023-09-12 00:09:03
22466,96.7,18.5,2023-09-12 00:09:05
22467,96.8,18.5,2023-09-12 00:09:07
22468,96.8,18.6,2023-09-12 00:09:09
22469,96.8,18.5,2023-09-12 00:09:11
22470,96.7,18.5,2023-09-12 00:09:13
22471,96.6,18.5,2023-09-12 00:09:15
22472,96.7,18.5,2023-09-12 00:09:17
22473,96.8,18.5,2023-09-12 00:09:19
22474,96.8,18.6,2023-09-12 00:09:21
22475,96.7,18.5,2023-09-12 00:09:23
22476,96.8,18.5,2023-09-12 00:09:25
22477,96.7,18.6,2023-09-12 00:09:32
22478,96.8,18.5,2023-09-12 00:09:33
22479,96.7,18.6,2023-09-12 00:09:35
22480,96.8,18.5,2023-09-12 00:09:37
22481,96.9,18.6,2023-09-12 00:09:39
22482,96.7,18.5,2023-09-12 00:09:42
22483,96.8,18.6,2023-09-12 00:09:44
22484,96.7,18.5,2023-09-12 00:09:46
22485,96.8,18.6,2023-09-12 00:09:48
22486,96.8,18.6,2023-09-12 00:09:50
22487,96.8,18.5,2023-09-12 00:09:52
22488,96.7,18.6,2023-09-12 00:09:54
22489,96.6,18.6,2023-09-12 00:09:56
22490,96.6,18.6,2023-09-12 00:10:02
22491,96.8,18.5,2023-09-12 00:10:04
22492,96.8,18.5,2023-09-12 00:10:06
22493,96.7,18.5,2023-09-12 00:10:08
22494,96.8,18.5,2023-09-12 00:10:10
22495,96.8,18.5,2023-09-12 00:10:12
22496,96.8,18.6,2023-09-12 00:10:14
22497,96.8,18.5,2023-09-12 00:10:16
22498,96.7,18.5,2023-09-12 00:10:18
22499,96.8,18.5,2023-09-12 00:10:20
22500,96.7,18.5,2023-09-12 00:10:22
22501,96.8,18.5,2023-09-12 00:10:24
22502,96.7,18.5,2023-09-12 00:10:26
22503,96.7,18.5,2023-09-12 00:10:32
22504,96.7,18.5,2023-09-12 00:10:34
22505,96.8,18.5,2023-09-12 00:10:36
22506,96.8,18.6,2023-09-12 00:10:38
22507,96.7,18.5,2023-09-12 00:10:40
22508,96.8,18.5,2023-09-12 00:10:42
22509,96.7,18.5,2023-09-12 00:10:44
22510,96.7,18.5,2023-09-12 00:10:46
22511,96.7,18.5,2023-09-12 00:10:48
22512,96.7,18.6,2023-09-12 00:10:50
22513,96.7,18.6,2023-09-12 00:10:52
22514,96.7,18.5,2023-09-12 00:10:54
22515,96.8,18.5,2023-09-12 00:10:56
22516,96.7,18.5,2023-09-12 00:11:02
22517,96.8,18.5,2023-09-12 00:11:04
22518,96.7,18.5,2023-09-12 00:11:06
22519,96.7,18.4,2023-09-12 00:11:08
22520,96.6,18.6,2023-09-12 00:11:10
22521,96.8,18.6,2023-09-12 00:11:12
22522,96.7,18.5,2023-09-12 00:11:14
22523,96.8,18.5,2023-09-12 00:11:16
22524,96.6,18.5,2023-09-12 00:11:18
22525,96.6,18.6,2023-09-12 00:11:20
22526,96.7,18.6,2023-09-12 00:11:22
22527,96.6,18.5,2023-09-12 00:11:24
22528,96.6,18.5,2023-09-12 00:11:26
22529,96.8,18.5,2023-09-12 00:11:32
22530,96.8,18.6,2023-09-12 00:11:34
22531,96.7,18.5,2023-09-12 00:11:36
22532,96.7,18.5,2023-09-12 00:11:38
22533,96.8,18.6,2023-09-12 00:11:40
22534,96.8,18.5,2023-09-12 00:11:42
22535,96.7,18.5,2023-09-12 00:11:44
22536,96.7,18.4,2023-09-12 00:11:46
22537,96.8,18.5,2023-09-12 00:11:48
22538,96.6,18.5,2023-09-12 00:11:50
22539,96.7,18.5,2023-09-12 00:11:52
22540,96.7,18.5,2023-09-12 00:11:54
22541,96.9,18.5,2023-09-12 00:11:56
22542,96.7,18.5,2023-09-12 00:12:02
22543,96.8,18.5,2023-09-12 00:12:04
22544,96.8,18.5,2023-09-12 00:12:06
22545,96.7,18.5,2023-09-12 00:12:08
22546,96.8,18.6,2023-09-12 00:12:10
22547,96.9,18.5,2023-09-12 00:12:12
22548,96.7,18.6,2023-09-12 00:12:14
22549,96.7,18.5,2023-09-12 00:12:16
22550,96.7,18.4,2023-09-12 00:12:18
22551,96.8,18.5,2023-09-12 00:12:20
22552,96.9,18.5,2023-09-12 00:12:22
22553,96.7,18.5,2023-09-12 00:12:24
22554,96.7,18.5,2023-09-12 00:12:26
22555,96.8,18.5,2023-09-12 00:12:32
22556,96.7,18.6,2023-09-12 00:12:34
22557,96.7,18.5,2023-09-12 00:12:36
22558,96.6,18.5,2023-09-12 00:12:38
22559,96.7,18.6,2023-09-12 00:12:40
22560,96.8,18.5,2023-09-12 00:12:42
22561,96.7,18.5,2023-09-12 00:12:44
22562,96.9,18.6,2023-09-12 00:12:46
22563,96.8,18.5,2023-09-12 00:12:48
22564,96.7,18.5,2023-09-12 00:12:50
22565,96.7,18.5,2023-09-12 00:12:52
22566,96.6,18.6,2023-09-12 00:12:54
22567,96.8,18.5,2023-09-12 00:12:56
22568,96.6,18.6,2023-09-12 00:13:03
22569,96.7,18.5,2023-09-12 00:13:05
22570,96.8,18.5,2023-09-12 00:13:07
22571,96.9,18.5,2023-09-12 00:13:09
22572,96.8,18.5,2023-09-12 00:13:11
22573,96.8,18.5,2023-09-12 00:13:13
22574,96.8,18.5,2023-09-12 00:13:15
22575,96.6,18.5,2023-09-12 00:13:17
22576,96.7,18.5,2023-09-12 00:13:19
22577,96.7,18.6,2023-09-12 00:13:21
22578,96.6,18.5,2023-09-12 00:13:23
22579,96.7,18.5,2023-09-12 00:13:25
22580,96.6,18.5,2023-09-12 00:13:27
22581,96.6,18.5,2023-09-12 00:13:34
22582,96.6,18.5,2023-09-12 00:13:35
22583,96.7,18.5,2023-09-12 00:13:37
22584,96.7,18.5,2023-09-12 00:13:39
22585,96.7,18.5,2023-09-12 00:13:41
22586,96.7,18.5,2023-09-12 00:13:43
22587,96.7,18.5,2023-09-12 00:13:45
22588,96.8,18.5,2023-09-12 00:13:47
22589,96.7,18.5,2023-09-12 00:13:49
22590,96.8,18.5,2023-09-12 00:13:51
22591,96.7,18.5,2023-09-12 00:13:53
22592,96.7,18.5,2023-09-12 00:13:55
22593,96.7,18.6,2023-09-12 00:13:57
22594,96.7,18.5,2023-09-12 00:14:04
22595,96.7,18.5,2023-09-12 00:14:05
22596,96.7,18.5,2023-09-12 00:14:07
22597,96.7,18.6,2023-09-12 00:14:09
22598,96.7,18.5,2023-09-12 00:14:11
22599,96.8,18.5,2023-09-12 00:14:13
22600,96.8,18.5,2023-09-12 00:14:15
22601,96.8,18.5,2023-09-12 00:14:17
22602,96.6,18.5,2023-09-12 00:14:19
22603,96.7,18.5,2023-09-12 00:14:21
22604,96.7,18.4,2023-09-12 00:14:23
22605,96.6,18.5,2023-09-12 00:14:25
22606,96.9,18.6,2023-09-12 00:14:27
22607,96.7,18.5,2023-09-12 00:14:34
22608,96.7,18.5,2023-09-12 00:14:35
22609,96.8,18.5,2023-09-12 00:14:37
22610,96.6,18.5,2023-09-12 00:14:39
22611,96.8,18.6,2023-09-12 00:14:41
22612,96.6,18.5,2023-09-12 00:14:43
22613,96.7,18.5,2023-09-12 00:14:45
22614,96.7,18.5,2023-09-12 00:14:47
22615,96.7,18.5,2023-09-12 00:14:49
22616,96.7,18.5,2023-09-12 00:14:51
22617,96.8,18.5,2023-09-12 00:14:53
22618,96.8,18.5,2023-09-12 00:14:55
22619,96.6,18.5,2023-09-12 00:14:57
22620,96.8,18.5,2023-09-12 00:15:04
22621,96.7,18.6,2023-09-12 00:15:05
22622,96.7,18.5,2023-09-12 00:15:07
22623,96.8,18.5,2023-09-12 00:15:09
22624,96.8,18.5,2023-09-12 00:15:11
22625,96.7,18.5,2023-09-12 00:15:13
22626,96.7,18.5,2023-09-12 00:15:15
22627,96.9,18.5,2023-09-12 00:15:17
22628,96.8,18.5,2023-09-12 00:15:19
22629,96.8,18.5,2023-09-12 00:15:21
22630,96.8,18.4,2023-09-12 00:15:23
22631,96.8,18.5,2023-09-12 00:15:25
22632,96.7,18.5,2023-09-12 00:15:27
22633,96.7,18.5,2023-09-12 00:15:34
22634,96.8,18.6,2023-09-12 00:15:35
22635,96.9,18.4,2023-09-12 00:15:37
22636,96.8,18.5,2023-09-12 00:15:39
22637,96.7,18.5,2023-09-12 00:15:41
22638,96.8,18.4,2023-09-12 00:15:43
22639,96.8,18.6,2023-09-12 00:15:45
22640,96.9,18.5,2023-09-12 00:15:47
22641,96.7,18.5,2023-09-12 00:15:49
22642,96.7,18.5,2023-09-12 00:15:51
